"Algorithm","Run","Seed","Status","OptimizationRuntimeSeconds","EvaluationRuntimeSeconds","TotalRuntimeSeconds"
"SWO","12","20260541","ok","0.6539861","0.0115423","0.6655313"
"SWO","13","20260542","ok","0.6948349","0.0135932","0.7084319"
"SWO","14","20260543","ok","0.6423929","0.011063","0.6534585"
"SWO","15","20260544","ok","0.6678219","0.0121063","0.6799314"
"SWO","16","20260545","ok","0.6708617","0.0111586","0.682024"
"SWO","17","20260546","ok","0.6496745","0.0116964","0.6613741"
"SWO","18","20260547","ok","0.6621341","0.0109741","0.6731115"
"SWO","19","20260548","ok","0.6657033","0.0098568","0.6755628"
"SWO","20","20260549","ok","0.6509219","0.0111262","0.6620512"
"SWO","21","20260550","ok","0.6674395","0.0103826","0.6778248"
"SWO","22","20260551","ok","0.6486556","0.0105519","0.6592104"
"SWO","23","20260552","ok","0.6699976","0.0107507","0.6807509"
"SWO","24","20260553","ok","0.6520522","0.0109547","0.6630097"
"SWO","25","20260554","ok","0.6555513","0.0101969","0.6657508"
"SWO","26","20260555","ok","0.6555","0.0111317","0.6666349"
"SWO","27","20260556","ok","0.6519609","0.0110285","0.6629921"
"SWO","28","20260557","ok","0.6714122","0.0215467","0.6929622"
"SWO","29","20260558","ok","0.6550713","0.0214402","0.6765143"
"SWO","30","20260559","ok","0.68593","0.0109526","0.6968856"
"MSDBO","1","20260530","ok","12.81291","0.0114648","12.8243783"
"MSDBO","2","20260531","ok","13.6688358","0.0111887","13.6800277"
"MSDBO","3","20260532","ok","12.282343","0.0115827","12.2939288"
"MSDBO","4","20260533","ok","12.4977802","0.0108846","12.5086682"
"MSDBO","5","20260534","ok","12.5612013","0.0139054","12.5751107"
"MSDBO","6","20260535","ok","12.1258205","0.0111733","12.1369965"
"MSDBO","7","20260536","ok","12.9357163","0.0117355","12.9474546"
"MSDBO","8","20260537","ok","12.2225298","0.0124504","12.2349833"
"MSDBO","9","20260538","ok","12.2516353","0.0108558","12.2624939"
"MSDBO","10","20260539","ok","12.1473029","0.0122115","12.1595172"
"MSDBO","11","20260540","ok","12.1436529","0.0107838","12.1544395"
"MSDBO","12","20260541","ok","12.2987801","0.0110501","12.3098329"
"MSDBO","13","20260542","ok","13.7031399","0.0138345","13.7169774"
"MSDBO","14","20260543","ok","12.4426543","0.0121775","12.4548352"
"MSDBO","15","20260544","ok","12.1717814","0.0116836","12.1834679"
"MSDBO","16","20260545","ok","12.199869","0.0104685","12.21034"
"MSDBO","17","20260546","ok","12.4747247","0.0115566","12.4862843"
"MSDBO","18","20260547","ok","12.0992332","0.01105","12.1102862"
"MSDBO","19","20260548","ok","12.7004272","0.0110723","12.7115021"
"MSDBO","20","20260549","ok","12.3561168","0.0124974","12.3686174"
"MSDBO","21","20260550","ok","13.2048874","0.011497","13.2163871"
"MSDBO","22","20260551","ok","12.5096122","0.0114781","12.5210933"
"MSDBO","23","20260552","ok","12.1550725","0.0110803","12.1661557"
"MSDBO","24","20260553","ok","12.1432782","0.0124611","12.1557428"
"MSDBO","25","20260554","ok","12.823585","0.0113681","12.8349559"
"MSDBO","26","20260555","ok","12.4543103","0.0117517","12.4660652"
"MSDBO","27","20260556","ok","12.2760702","0.0112371","12.2873101"
"MSDBO","28","20260557","ok","12.2178891","0.0119263","12.2298185"
"MSDBO","29","20260558","ok","12.4002696","0.0101828","12.4104549"
"MSDBO","30","20260559","ok","12.7547216","0.0125629","12.7672875"
